trace_id,neurite,point_index,x,y,normal_x,normal_y,new_x,new_y,width,intensity,fit_mssg
0,axon,37,938.0591013182128,1960.5689515379154,0.8478499269289723,-0.5302362694182059,936.3687892298948,1961.6260546258507,6.03042065569793,62896,Passed
0,axon,38,936.389601845692,1958.0844027685382,0.862919211109651,-0.50534189921072,934.778291640652,1959.0280166651223,6.018305342089895,62813,Passed
0,axon,39,934.9786271381787,1955.443896237719,0.8757738773054469,-0.48272157174647207,933.3844266736736,1956.3226104513383,6.094590126199848,62727,Passed
0,axon,40,933.6619912681098,1952.7616782023315,0.8855480744219671,-0.4645477455413449,932.0798508984373,1953.591649790651,6.139334194876502,62640,Passed
0,axon,41,932.2644320817213,1950.1194672089348,0.8975731555373921,-0.4408655469172528,930.8035834153146,1950.8369996376905,6.1916658697347,62554,Passed
0,axon,42,930.9716099397294,1947.4254760917895,0.9130134091165154,-0.4079295463354409,929.5323138946866,1948.0685459271656,6.22706933133923,62466,Passed
0,axon,43,929.6208309422994,1944.7546812235355,0.9403690134147343,-0.3401560209806659,928.0465201948595,1945.324150519096,6.230855860010679,62376,Passed
0,axon,44,928.5594150714455,1941.94954330007,0.968634006862743,-0.24849177199462275,926.7710305770964,1942.4083325113304,6.346714765132695,62285,Passed
0,axon,45,927.9082606098274,1939.0244909354567,0.9881446774741045,-0.15352555611232296,925.688403767011,1939.3693845163787,6.488382283600375,62197,Passed
0,axon,46,928.0000000000006,1936.0277490336894,0.9975229880580185,-0.0703412275682061,925.3818236133586,1936.2123720882266,6.562931896113667,62104,Passed
0,axon,47,928.0000000000006,1933.026233576622,0.9998424763185652,-0.01774887458853874,925.0017834987027,1933.0794569292311,6.590428266630825,62008,Passed
0,axon,48,928.0000000000006,1930.024718119554,0.9999946390686464,0.0032744211652790157,924.6553574374184,1930.0137662924449,7.655157684332425,61901,Passed
0,axon,49,928.0000000000006,1927.0232026624867,1.0,-1.0230511547621035e-27,924.36691513159,1927.0232026624867,7.6698026123527265,61806,Passed
0,axon,50,928.0000000000006,1924.0216872054189,1.0,5.125846365474692e-28,924.2222486753172,1924.0216872054189,7.679452234523248,61710,Passed
0,axon,51,928.0000000000006,1921.0201717483515,1.0,5.125846365474748e-28,924.0828882254989,1921.0201717483515,7.687763863819849,61614,Passed
0,axon,52,928.0000000000006,1918.0186562912838,1.0,-1.0166967997635756e-28,924.0826146395283,1918.0186562912838,7.687361957899436,61518,Passed
0,axon,53,928.0000000000006,1915.0171408342162,1.0,-1.0166967997635806e-28,924.2207189435283,1915.0171408342162,7.679560613945412,61422,Passed
0,axon,54,928.0000000000006,1912.0156253771486,1.0,-0.0,924.4912427575179,1912.0156253771486,7.664405215502329,61326,Passed
0,axon,55,928.0000000000006,1909.014109920081,1.0,-0.0,924.7659576189373,1909.014109920081,6.594965443642921,61212,Passed
0,axon,56,928.0000000000006,1906.0125944630133,0.9999364805311655,0.011270976131033639,925.1538198017383,1905.980513196149,6.598880918587932,61115,Passed
0,axon,57,928.0000000000006,1903.0110790059457,0.9986156268555879,0.05260066349221734,925.7125301026206,1902.890589769562,6.5348113876493805,61047,Passed
0,axon,58,928.0000000000006,1900.009563548878,0.9923211753521743,0.12368785287035815,926.2171319774475,1899.7873380001968,6.323415513325808,60933,Passed
0,axon,59,928.3160969877919,1897.0603272093977,0.979540449710635,0.20124737856848485,926.9822557556191,1896.78628844818,6.26251672225124,60833,Passed
0,axon,60,929.2602088604622,1894.2193734186155,0.9585842518956144,0.284809115053794,928.2714315813814,1893.9255935226038,6.210054351425749,60738,Passed
0,axon,61,930.480949051253,1891.4875087404632,0.9352955733645482,0.3538674758220669,929.746205970169,1891.2095199560774,6.190782229669331,60645,Passed
0,axon,62,931.4656371486186,1888.6527024848788,0.9172155940582253,0.3983912072528924,930.9002975947059,1888.4071481039348,6.124384295290976,60553,Passed
0,axon,63,932.8164161460485,1885.9819076166245,0.9071353719644178,0.42083894417101825,932.2997162609411,1885.7421998058367,6.098547516948418,60471,Passed
0,axon,64,934.0853018152637,1883.276082734935,0.9015812999822986,0.4326097080767242,933.6679998950974,1883.075846924957,6.002062229334318,60381,Passed
0,axon,65,935.4325304771038,1880.6089892292957,0.8851637671188108,0.4652795991444669,935.105682107006,1880.4371838704806,5.984355816041767,60295,Passed
0,axon,66,936.8234333444979,1877.9634874706953,0.859712557558458,0.5107781498618508,936.476545576443,1877.757392199876,6.020904797217527,60212,Passed
